word,frequency,percentage,percentage_str,pos
国务院,3,0.03,0.03%,nt
掉,3,0.03,0.03%,v
数据,3,0.03,0.03%,n
米兰,3,0.03,0.03%,ns
挂牌,3,0.03,0.03%,v
价格,3,0.03,0.03%,n
哪里,3,0.03,0.03%,r
民众,3,0.03,0.03%,n
短剧,3,0.03,0.03%,n
联大,3,0.03,0.03%,j
许昕,3,0.03,0.03%,nr
资产,2,0.02,0.02%,n
异性,2,0.02,0.02%,n
加速,2,0.02,0.02%,v
提出,2,0.02,0.02%,v
版,2,0.02,0.02%,n
一度,2,0.02,0.02%,mq
座椅,2,0.02,0.02%,n
相撞,2,0.02,0.02%,v
相貌,2,0.02,0.02%,n
印度,2,0.02,0.02%,ns
提到,2,0.02,0.02%,v
完全,2,0.02,0.02%,ad
银行,2,0.02,0.02%,n
入狱,2,0.02,0.02%,v
立场,2,0.02,0.02%,n
兜售,2,0.02,0.02%,v
曾,2,0.02,0.02%,d
空战,2,0.02,0.02%,n
座位,2,0.02,0.02%,n
存在,2,0.02,0.02%,v
拟,2,0.02,0.02%,v
不满,2,0.02,0.02%,a
高空,2,0.02,0.02%,n
网红,2,0.02,0.02%,n
欧盟,2,0.02,0.02%,j
不同,2,0.02,0.02%,a
沅陵,2,0.02,0.02%,ns
接班人,2,0.02,0.02%,n
采访,2,0.02,0.02%,v
有些,2,0.02,0.02%,r
达成,2,0.02,0.02%,v
更新,2,0.02,0.02%,d
大结局,2,0.02,0.02%,n
官网,2,0.02,0.02%,n
声音,2,0.02,0.02%,n
命案,2,0.02,0.02%,n
死亡,2,0.02,0.02%,v
宣称,2,0.02,0.02%,v
一样,2,0.02,0.02%,r
土,2,0.02,0.02%,zg
书记,2,0.02,0.02%,n
思想,2,0.02,0.02%,n
记忆,2,0.02,0.02%,n
解读,2,0.02,0.02%,v
心理,2,0.02,0.02%,n
反转,2,0.02,0.02%,v
领导人,2,0.02,0.02%,n
致死,2,0.02,0.02%,v
违章,2,0.02,0.02%,vn
解决,2,0.02,0.02%,v
加拿大,2,0.02,0.02%,ns
搜索,2,0.02,0.02%,v
网络,2,0.02,0.02%,n
刚出生,2,0.02,0.02%,i
是不是,2,0.02,0.02%,l
女儿,2,0.02,0.02%,n
挑战,2,0.02,0.02%,vn
双方,2,0.02,0.02%,n
马航,2,0.02,0.02%,nr
艾灸,2,0.02,0.02%,nr
合村,2,0.02,0.02%,n
馆,2,0.02,0.02%,ng
动力,2,0.02,0.02%,n
国内,2,0.02,0.02%,s
产业,2,0.02,0.02%,n
MH,2,0.02,0.02%,eng
汪峰,2,0.02,0.02%,nr
没有,2,0.02,0.02%,v
韩国,2,0.02,0.02%,ns
辞退,2,0.02,0.02%,v
喜欢,2,0.02,0.02%,v
车主,2,0.02,0.02%,n
称车,2,0.02,0.02%,v
清洁工,2,0.02,0.02%,n
打扫,2,0.02,0.02%,v
王蒙徽,2,0.02,0.02%,nr
德尔,2,0.02,0.02%,ns
全国人大,2,0.02,0.02%,nt
伤,2,0.02,0.02%,v
全校,2,0.02,0.02%,n
万买,2,0.02,0.02%,n
资源,2,0.02,0.02%,n
魏,2,0.02,0.02%,nr
白酒,2,0.02,0.02%,n
韧性,2,0.02,0.02%,n
科技股,2,0.02,0.02%,n
同框,2,0.02,0.02%,n
想要,2,0.02,0.02%,v
大涨,2,0.02,0.02%,n
公务员,2,0.02,0.02%,n
上岗,2,0.02,0.02%,ns
带来,2,0.02,0.02%,v
跌破,2,0.02,0.02%,v
花式,2,0.02,0.02%,n
送服,2,0.02,0.02%,v
后续,2,0.02,0.02%,v
禁言,2,0.02,0.02%,n
亲属,2,0.02,0.02%,n
四,2,0.02,0.02%,m
回归,2,0.02,0.02%,v
卷入,2,0.02,0.02%,v
协调,2,0.02,0.02%,v
普涨,2,0.02,0.02%,v
举行,2,0.02,0.02%,v
基辅,2,0.02,0.02%,n
概股,2,0.02,0.02%,n
盘前,2,0.02,0.02%,n
克格勃,2,0.02,0.02%,nr
部长,2,0.02,0.02%,n
特工,2,0.02,0.02%,n
请,2,0.02,0.02%,v
农田,2,0.02,0.02%,n
无期徒刑,2,0.02,0.02%,l
车,2,0.02,0.02%,zg
时刻,2,0.02,0.02%,n
分析,2,0.02,0.02%,vn
药,2,0.02,0.02%,n
受伤,2,0.02,0.02%,v
提名,2,0.02,0.02%,v
新高,2,0.02,0.02%,v
市,2,0.02,0.02%,n
堂弟,2,0.02,0.02%,n
结局,2,0.02,0.02%,n
马库斯,2,0.02,0.02%,nr
